Product Line,Product Category,Date,Net Total Revenue,Net Product Revenue,Net Shipping Revenue,Cost of Goods Sold,Shipping Cost,Paid Order Count
birth announcements,cards,2018-01-11,$16,$9,$6,$2,$5,1
accessory products only,calendars,2018-01-11,$14,$10,$4,$2,$2,1
baby book refill pack,books,2018-01-11,$8,$7,$1,$2,$1,1
hardcover photo books,books,2018-01-12,"$3,491","$3,020",$471,$945,$408,55
layflat photo albums,books,2018-01-12,"$2,689","$2,461",$228,"$1,187",$209,20
softcover photo books,books,2018-01-12,"$1,661","$1,283",$378,$527,$238,52
everyday print set,prints,2018-01-12,"$1,622","$1,162",$460,$494,$276,99
wedding guest books,books,2018-01-12,"$1,331","$1,221",$110,$497,$83,12
large format prints,prints,2018-01-12,"$1,180","$1,065",$115,$308,$98,18
baby book,books,2018-01-12,"$1,013",$877,$136,$362,$126,15
gallery frames,frames,2018-01-12,$834,$739,$95,$359,$114,8
brass easel calendars,calendars,2018-01-12,$557,$462,$95,$216,$69,11
wood calendars,calendars,2018-01-12,$493,$387,$106,$108,$61,25
float frames,frames,2018-01-12,$457,$389,$68,$165,$54,2
thank you cards,cards,2018-01-12,$390,$336,$53,$85,$42,9
save the dates,cards,2018-01-12,$388,$360,$28,$111,$45,5
volumes subscription series,books,2018-01-12,$245,$245,$0,$98,$17,10
holiday cards,cards,2018-01-12,$231,$207,$23,$45,$15,4
calendar refills,calendars,2018-01-12,$224,$154,$70,$44,$26,17
wood block and prints,photo holders,2018-01-12,$212,$165,$47,$39,$25,10
design your own cards,cards,2018-01-12,$107,$93,$13,$37,$27,4
walnut print block,photo holders,2018-01-12,$76,$57,$19,$17,$19,5
modern metal frames,frames,2018-01-12,$71,$41,$29,$29,$21,1
signature prints,prints,2018-01-12,$67,$52,$15,$37,$19,4
metal tabletop frames,frames,2018-01-12,$67,$59,$7,$38,$13,1
solidwool calendars,calendars,2018-01-12,$50,$40,$10,$27,$17,2
wooden tabletop frames,frames,2018-01-12,$39,$35,$4,$15,$5,1
geo rail,photo holders,2018-01-12,$33,$25,$8,$9,$5,1
brass & wood display box,photo holders,2018-01-12,$30,$25,$5,$13,$7,1
birth announcements,cards,2018-01-12,$29,$25,$4,$5,$4,1
gathering invitations,cards,2018-01-12,$18,$11,$6,$2,$5,1
cork and brass,photo holders,2018-01-12,$17,$13,$4,$8,$7,1
wooden photo ledge,photo holders,2018-01-12,$0,$0,$0,$5,$5,0
wood cleat,photo holders,2018-01-12,$0,$0,$0,$25,$5,0
hardcover photo books,books,2018-01-13,"$3,442","$2,985",$456,$826,$323,53
layflat photo albums,books,2018-01-13,"$3,022","$2,790",$231,"$1,079",$184,22
softcover photo books,books,2018-01-13,"$1,432","$1,078",$353,$414,$210,58
everyday print set,prints,2018-01-13,"$1,338",$951,$387,$385,$245,90
large format prints,prints,2018-01-13,$744,$614,$130,$173,$126,23
wedding guest books,books,2018-01-13,$718,$640,$77,$239,$50,5
design your own cards,cards,2018-01-13,$652,$577,$74,$155,$45,7
save the dates,cards,2018-01-13,$416,$386,$30,$115,$30,6
baby book,books,2018-01-13,$396,$354,$42,$145,$33,6
wood calendars,calendars,2018-01-13,$375,$291,$84,$77,$43,19
holiday cards,cards,2018-01-13,$349,$311,$37,$71,$24,7
gallery frames,frames,2018-01-13,$332,$285,$46,$125,$44,6
calendar refills,calendars,2018-01-13,$301,$231,$70,$62,$31,15
float frames,frames,2018-01-13,$237,$202,$34,$105,$28,4
thank you cards,cards,2018-01-13,$232,$193,$38,$48,$30,8
brass easel calendars,calendars,2018-01-13,$214,$173,$41,$75,$24,7
wooden photo ledge,photo holders,2018-01-13,$213,$192,$20,$65,$21,3
birth announcements,cards,2018-01-13,$200,$150,$50,$29,$50,3
volumes subscription series,books,2018-01-13,$168,$147,$21,$59,$25,7
wood cleat,photo holders,2018-01-13,$151,$136,$15,$62,$10,2
walnut print block,photo holders,2018-01-13,$130,$98,$31,$25,$22,6
wooden tabletop frames,frames,2018-01-13,$117,$94,$23,$47,$33,2
wood block and prints,photo holders,2018-01-13,$116,$88,$28,$21,$11,7
wooden hanger,photo holders,2018-01-13,$112,$99,$13,$49,$7,2
signature prints,prints,2018-01-13,$111,$89,$22,$43,$16,4
wooden box,photo holders,2018-01-13,$99,$86,$13,$33,$11,2
geo rail,photo holders,2018-01-13,$56,$44,$11,$18,$6,2
metal tabletop frames,frames,2018-01-13,$42,$35,$7,$14,$5,1
postcard pack,cards,2018-01-13,$35,$29,$6,$12,$4,2
gathering invitations,cards,2018-01-13,$34,$29,$5,$5,$2,1
brass & wood display box,photo holders,2018-01-13,$22,$15,$6,$13,$3,1
cork and brass,photo holders,2018-01-13,$15,$13,$3,$8,$3,1
brass easel prints refill pack,photo holders,2018-01-13,$7,$5,$1,$2,$1,1
layflat photo albums,books,2018-01-14,"$6,964","$6,532",$432,"$2,037",$320,28
hardcover photo books,books,2018-01-14,"$4,439","$3,818",$621,"$1,123",$465,70
softcover photo books,books,2018-01-14,"$2,564","$2,061",$503,$705,$263,77
everyday print set,prints,2018-01-14,"$1,822","$1,285",$537,$499,$327,125
wedding guest books,books,2018-01-14,"$1,347","$1,226",$120,$500,$83,13
baby book,books,2018-01-14,$981,$863,$118,$362,$105,14
gallery frames,frames,2018-01-14,$909,$699,$210,$311,$168,11
wood calendars,calendars,2018-01-14,$603,$452,$151,$131,$100,19
save the dates,cards,2018-01-14,$599,$543,$55,$125,$36,6
thank you cards,cards,2018-01-14,$575,$517,$58,$140,$70,11
brass easel calendars,calendars,2018-01-14,$541,$449,$92,$194,$56,15
holiday cards,cards,2018-01-14,$517,$455,$62,$108,$43,5
large format prints,prints,2018-01-14,$488,$376,$112,$111,$110,20
modern metal frames,frames,2018-01-14,$426,$369,$56,$150,$41,6
volumes subscription series,books,2018-01-14,$391,$391,$0,$157,$30,18
signature prints,prints,2018-01-14,$288,$229,$59,$98,$57,10
calendar refills,calendars,2018-01-14,$281,$196,$84,$56,$43,19
birth announcements,cards,2018-01-14,$251,$225,$26,$43,$14,4
float frames,frames,2018-01-14,$245,$198,$47,$112,$31,4
wood block and prints,photo holders,2018-01-14,$212,$160,$51,$39,$26,12
brass easel + prints,photo holders,2018-01-14,$132,$105,$27,$54,$18,5
wooden hanger,photo holders,2018-01-14,$111,$99,$12,$49,$13,2
wooden box,photo holders,2018-01-14,$104,$95,$9,$33,$9,1
wooden tabletop frames,frames,2018-01-14,$89,$79,$10,$32,$9,1
deep set frames,frames,2018-01-14,$87,$74,$12,$34,$10,2
design your own cards,cards,2018-01-14,$77,$62,$15,$13,$13,3
metal tabletop frames,frames,2018-01-14,$74,$64,$10,$26,$9,2
wooden photo ledge,photo holders,2018-01-14,$63,$49,$14,$19,$20,2
brass & wood display box,photo holders,2018-01-14,$56,$48,$8,$26,$11,2
walnut print block,photo holders,2018-01-14,$39,$27,$11,$9,$7,3
geo rail,photo holders,2018-01-14,$34,$25,$9,$9,$12,1
baby book refill pack,books,2018-01-14,$26,$23,$3,$7,$3,2
solidwool calendars,calendars,2018-01-14,$25,$20,$5,$9,$4,1
cork and brass,photo holders,2018-01-14,$24,$19,$5,$17,$3,2
wood block refill packs,photo holders,2018-01-14,$20,$14,$6,$4,$2,2
layflat photo albums,books,2018-01-15,"$6,894","$6,396",$497,"$2,324",$426,40
hardcover photo books,books,2018-01-15,"$6,873","$6,130",$743,"$1,897",$724,84
softcover photo books,books,2018-01-15,"$2,967","$2,305",$662,$892,$401,106
everyday print set,prints,2018-01-15,"$1,707","$1,203",$505,$513,$336,118
baby book,books,2018-01-15,"$1,122",$975,$147,$410,$120,16
large format prints,prints,2018-01-15,$893,$725,$168,$222,$150,27
brass easel calendars,calendars,2018-01-15,$811,$664,$148,$259,$95,17
gallery frames,frames,2018-01-15,$775,$674,$100,$329,$89,10
modern metal frames,frames,2018-01-15,$711,$629,$82,$262,$44,4
wedding guest books,books,2018-01-15,$634,$569,$66,$262,$74,6
holiday cards,cards,2018-01-15,$590,$528,$62,$120,$38,10
wood calendars,calendars,2018-01-15,$544,$416,$128,$111,$73,26
save the dates,cards,2018-01-15,$528,$479,$49,$127,$28,6
thank you cards,cards,2018-01-15,$501,$428,$73,$100,$58,13
float frames,frames,2018-01-15,$353,$308,$44,$136,$44,4
signature prints,prints,2018-01-15,$346,$268,$77,$123,$58,11
calendar refills,calendars,2018-01-15,$330,$220,$109,$64,$60,24
design your own cards,cards,2018-01-15,$256,$216,$39,$85,$33,9
volumes subscription series,books,2018-01-15,$233,$233,$0,$108,$39,9
wood block and prints,photo holders,2018-01-15,$188,$148,$40,$36,$25,11
wooden tabletop frames,frames,2018-01-15,$121,$104,$17,$61,$17,3
wooden photo ledge,photo holders,2018-01-15,$113,$98,$15,$45,$17,3
baby book refill pack,books,2018-01-15,$90,$74,$16,$25,$12,7
wooden box,photo holders,2018-01-15,$86,$80,$6,$26,$6,2
brass & wood display box,photo holders,2018-01-15,$85,$65,$19,$39,$20,3
deep set frames,frames,2018-01-15,$64,$56,$8,$29,$10,1
birth announcements,cards,2018-01-15,$47,$36,$10,$7,$7,2
brass easel + prints,photo holders,2018-01-15,$43,$28,$15,$11,$8,1
metal tabletop frames,frames,2018-01-15,$37,$30,$7,$12,$5,1
walnut print block,photo holders,2018-01-15,$36,$27,$9,$9,$7,1
geo rail,photo holders,2018-01-15,$31,$23,$8,$9,$18,1
solidwool calendars,calendars,2018-01-15,$23,$20,$3,$9,$2,1
postcard pack,cards,2018-01-15,$19,$15,$4,$6,$2,1
wood block refill packs,photo holders,2018-01-15,$17,$15,$2,$4,$1,1
cork and brass,photo holders,2018-01-15,$12,$10,$1,$8,$2,1
hardcover photo books,books,2018-01-16,"$6,150","$5,295",$854,"$1,669",$700,92
layflat photo albums,books,2018-01-16,"$4,322","$3,851",$471,"$1,626",$404,34
softcover photo books,books,2018-01-16,"$2,447","$1,890",$557,$652,$344,73
everyday print set,prints,2018-01-16,"$2,154","$1,546",$608,$598,$414,132
wedding guest books,books,2018-01-16,"$1,444","$1,313",$131,$491,$73,13
large format prints,prints,2018-01-16,$799,$627,$171,$179,$166,28
baby book,books,2018-01-16,$788,$684,$104,$314,$130,11
gallery frames,frames,2018-01-16,$690,$595,$95,$248,$87,8
thank you cards,cards,2018-01-16,$686,$623,$62,$150,$52,10
float frames,frames,2018-01-16,$637,$560,$77,$250,$67,5
save the dates,cards,2018-01-16,$461,$416,$45,$114,$40,8
wood calendars,calendars,2018-01-16,$438,$343,$94,$92,$77,20
volumes subscription series,books,2018-01-16,$424,$391,$33,$181,$110,14
calendar refills,calendars,2018-01-16,$297,$228,$69,$66,$80,13
metal tabletop frames,frames,2018-01-16,$281,$233,$47,$103,$52,6
brass easel calendars,calendars,2018-01-16,$270,$204,$66,$97,$50,9
signature prints,prints,2018-01-16,$240,$177,$62,$79,$75,8
wood block and prints,photo holders,2018-01-16,$182,$136,$46,$36,$56,11
design your own cards,cards,2018-01-16,$182,$147,$34,$82,$42,9
wooden box,photo holders,2018-01-16,$100,$80,$20,$26,$23,2
brass & wood display box,photo holders,2018-01-16,$93,$73,$21,$51,$32,3
birth announcements,cards,2018-01-16,$83,$77,$6,$33,$10,2
brass easel prints refill pack,photo holders,2018-01-16,$78,$53,$25,$14,$12,1
holiday cards,cards,2018-01-16,$73,$64,$9,$17,$22,3
wooden photo ledge,photo holders,2018-01-16,$63,$54,$9,$51,$18,2
deep set frames,frames,2018-01-16,$56,$50,$6,$21,$5,1
walnut print block,photo holders,2018-01-16,$46,$38,$9,$11,$9,3
wooden tabletop frames,frames,2018-01-16,$39,$35,$4,$15,$7,1
postcard pack,cards,2018-01-16,$36,$30,$6,$12,$5,2
brass easel + prints,photo holders,2018-01-16,$31,$28,$3,$11,$3,1
wood block refill packs,photo holders,2018-01-16,$31,$23,$8,$5,$7,2
geo rail,photo holders,2018-01-16,$28,$25,$3,$9,$2,1
solidwool calendars,calendars,2018-01-16,$28,$20,$8,$9,$6,1
accessory products only,cards,2018-01-16,$0,$0,$0,$2,$27,0
hardcover photo books,books,2018-01-17,"$4,450","$3,760",$690,"$1,209",$645,62
layflat photo albums,books,2018-01-17,"$2,742","$2,477",$265,"$1,109",$205,18
softcover photo books,books,2018-01-17,"$1,800","$1,427",$372,$522,$212,57
everyday print set,prints,2018-01-17,"$1,768","$1,224",$544,$496,$315,123
large format prints,prints,2018-01-17,"$1,187",$996,$191,$306,$213,30
baby book,books,2018-01-17,"$1,161","$1,029",$132,$459,$113,15
wedding guest books,books,2018-01-17,$982,$891,$91,$348,$54,8
save the dates,cards,2018-01-17,$721,$663,$57,$170,$29,5
thank you cards,cards,2018-01-17,$557,$506,$51,$123,$43,9
design your own cards,cards,2018-01-17,$526,$501,$24,$203,$23,4
float frames,frames,2018-01-17,$460,$407,$53,$198,$34,3
gallery frames,frames,2018-01-17,$417,$358,$59,$233,$63,7
brass easel calendars,calendars,2018-01-17,$386,$309,$77,$129,$38,12
holiday cards,cards,2018-01-17,$370,$322,$47,$88,$31,5
wood block and prints,photo holders,2018-01-17,$293,$219,$74,$57,$46,14
wood calendars,calendars,2018-01-17,$258,$209,$49,$54,$23,11
deep set frames,frames,2018-01-17,$241,$218,$23,$88,$20,2
signature prints,prints,2018-01-17,$172,$125,$46,$67,$34,8
birth announcements,cards,2018-01-17,$168,$147,$20,$28,$11,4
calendar refills,calendars,2018-01-17,$150,$96,$54,$28,$27,10
volumes subscription series,books,2018-01-17,$122,$122,$0,$83,$43,6
metal tabletop frames,frames,2018-01-17,$104,$89,$15,$64,$19,3
walnut print block,photo holders,2018-01-17,$91,$72,$18,$20,$12,6
wooden photo ledge,photo holders,2018-01-17,$90,$79,$11,$27,$11,2
wooden tabletop frames,frames,2018-01-17,$79,$69,$10,$31,$9,2
solidwool calendars,calendars,2018-01-17,$59,$40,$19,$18,$23,2
brass & wood display box,photo holders,2018-01-17,$56,$48,$8,$25,$7,2
geo rail,photo holders,2018-01-17,$54,$44,$10,$18,$7,2
baby book refill pack,books,2018-01-17,$50,$44,$6,$15,$5,5
modern metal frames,frames,2018-01-17,$38,$35,$3,$87,$29,2
postcard pack,cards,2018-01-17,$37,$30,$6,$12,$2,1
brass easel + prints,photo holders,2018-01-17,$34,$28,$6,$11,$4,1
wood cleat refill,photo holders,2018-01-17,$18,$14,$4,$7,$4,1
cork and brass,photo holders,2018-01-17,$15,$13,$3,$8,$3,1
wooden hanger,photo holders,2018-01-17,$4,$4,$0,$25,$7,1
wall calendars,calendars,2018-01-17,$0,$0,$0,$20,$7,0
wooden box,photo holders,2018-01-17,$0,$0,$0,$10,$5,0
hardcover photo books,books,2018-01-18,"$4,032","$3,519",$512,"$1,186",$474,53
layflat photo albums,books,2018-01-18,"$3,909","$3,583",$326,"$1,534",$319,26
softcover photo books,books,2018-01-18,"$1,945","$1,467",$478,$544,$290,64
everyday print set,prints,2018-01-18,"$1,362",$948,$413,$388,$259,95
large format prints,prints,2018-01-18,$824,$687,$137,$194,$121,28
baby book,books,2018-01-18,$737,$654,$83,$290,$75,11
brass easel calendars,calendars,2018-01-18,$669,$532,$137,$216,$71,19
thank you cards,cards,2018-01-18,$624,$531,$93,$123,$74,16
modern metal frames,frames,2018-01-18,$514,$424,$90,$179,$120,5
wood calendars,calendars,2018-01-18,$488,$366,$122,$96,$75,21
gallery frames,frames,2018-01-18,$461,$397,$64,$217,$79,8
wedding guest books,books,2018-01-18,$432,$369,$63,$163,$39,5
holiday cards,cards,2018-01-18,$322,$274,$48,$66,$21,2
metal tabletop frames,frames,2018-01-18,$307,$267,$40,$94,$15,2
volumes subscription series,books,2018-01-18,$294,$294,$0,$118,$20,13
signature prints,prints,2018-01-18,$290,$243,$47,$104,$36,13
wooden tabletop frames,frames,2018-01-18,$281,$242,$39,$123,$40,5
design your own cards,cards,2018-01-18,$211,$168,$43,$43,$29,7
wooden box,photo holders,2018-01-18,$195,$160,$34,$55,$39,4
walnut print block,photo holders,2018-01-18,$155,$101,$53,$31,$35,9
deep set frames,frames,2018-01-18,$114,$97,$17,$46,$14,2
geo rail,photo holders,2018-01-18,$96,$84,$13,$37,$9,3
birth announcements,cards,2018-01-18,$96,$85,$10,$28,$13,1
wood block and prints,photo holders,2018-01-18,$96,$69,$26,$18,$15,6
cork and brass,photo holders,2018-01-18,$87,$72,$15,$50,$18,5
brass & wood display box,photo holders,2018-01-18,$86,$73,$13,$38,$11,3
save the dates,cards,2018-01-18,$70,$65,$5,$11,$4,1
calendar refills,calendars,2018-01-18,$69,$45,$24,$12,$9,6
brass easel + prints,photo holders,2018-01-18,$67,$55,$11,$22,$6,2
wood cleat,photo holders,2018-01-18,$66,$59,$6,$25,$5,1
wooden photo ledge,photo holders,2018-01-18,$59,$51,$8,$14,$6,2
wooden hanger,photo holders,2018-01-18,$56,$44,$11,$47,$40,1
float frames,frames,2018-01-18,$44,$35,$9,$19,$20,1
solidwool calendars,calendars,2018-01-18,$23,$18,$5,$36,$10,1
postcard pack,cards,2018-01-18,$19,$15,$4,$6,$2,1
wood block refill packs,photo holders,2018-01-18,$11,$7,$4,$2,$2,1
baby book refill pack,books,2018-01-18,$9,$8,$1,$2,$1,1
accessory products only,calendars,2018-01-18,$0,$0,$0,$10,$10,0
hardcover photo books,books,2018-01-19,"$3,666","$3,241",$425,"$1,015",$422,45
layflat photo albums,books,2018-01-19,"$2,754","$2,509",$245,"$1,274",$313,18
softcover photo books,books,2018-01-19,"$1,699","$1,356",$343,$570,$220,51
everyday print set,prints,2018-01-19,"$1,400","$1,037",$362,$398,$207,83
large format prints,prints,2018-01-19,"$1,082",$857,$225,$281,$275,31
baby book,books,2018-01-19,$817,$720,$97,$338,$122,10
wedding guest books,books,2018-01-19,$605,$557,$48,$253,$47,6
save the dates,cards,2018-01-19,$459,$421,$37,$107,$25,3
float frames,frames,2018-01-19,$361,$322,$39,$128,$39,3
volumes subscription series,books,2018-01-19,$355,$355,$0,$142,$23,11
brass easel calendars,calendars,2018-01-19,$353,$259,$94,$108,$41,10
design your own cards,cards,2018-01-19,$318,$244,$73,$69,$49,7
birth announcements,cards,2018-01-19,$268,$248,$19,$69,$18,3
gallery frames,frames,2018-01-19,$251,$213,$38,$182,$72,5
deep set frames,frames,2018-01-19,$228,$204,$25,$76,$17,1
wood cleat,photo holders,2018-01-19,$222,$207,$15,$86,$14,2
modern metal frames,frames,2018-01-19,$213,$188,$25,$78,$15,2
calendar refills,calendars,2018-01-19,$204,$179,$26,$56,$19,7
wood block and prints,photo holders,2018-01-19,$197,$138,$59,$33,$34,11
wedding invitations,cards,2018-01-19,$158,$146,$12,$21,$10,2
thank you cards,cards,2018-01-19,$150,$131,$18,$54,$31,4
signature prints,prints,2018-01-19,$120,$102,$18,$61,$33,8
wood calendars,calendars,2018-01-19,$116,$87,$29,$23,$15,6
brass easel + prints,photo holders,2018-01-19,$99,$80,$19,$32,$10,3
wooden photo ledge,photo holders,2018-01-19,$76,$64,$11,$46,$14,2
wooden hanger,photo holders,2018-01-19,$62,$55,$8,$25,$8,1
holiday cards,cards,2018-01-19,$43,$35,$8,$8,$4,1
wooden tabletop frames,frames,2018-01-19,$42,$35,$7,$16,$5,1
walnut print block,photo holders,2018-01-19,$31,$23,$8,$10,$5,3
solidwool calendars,calendars,2018-01-19,$25,$20,$5,$9,$4,1
geo rail,photo holders,2018-01-19,$22,$15,$6,$9,$2,1
postcard pack,cards,2018-01-19,$19,$15,$4,$6,$2,1
brass & wood display box,photo holders,2018-01-19,$19,$15,$3,$39,$22,2
baby book refill pack,books,2018-01-19,$9,$8,$1,$2,$1,1
accessory products only,calendars,2018-01-19,$0,$0,$0,$18,$13,0
dust jacket refill,books,2018-01-19,$0,$0,$0,$20,$16,0
hardcover photo books,books,2018-01-20,"$3,633","$3,181",$452,$897,$384,49
layflat photo albums,books,2018-01-20,"$2,942","$2,709",$232,$959,$163,18
softcover photo books,books,2018-01-20,"$1,436","$1,117",$318,$418,$178,55
everyday print set,prints,2018-01-20,"$1,113",$762,$350,$321,$186,77
large format prints,prints,2018-01-20,$831,$700,$131,$196,$134,23
brass easel calendars,calendars,2018-01-20,$676,$549,$127,$226,$68,17
save the dates,cards,2018-01-20,$451,$418,$33,$105,$25,4
wedding guest books,books,2018-01-20,$434,$389,$45,$203,$36,5
baby book,books,2018-01-20,$382,$330,$51,$145,$65,5
design your own cards,cards,2018-01-20,$309,$287,$22,$80,$17,3
wood calendars,calendars,2018-01-20,$291,$213,$78,$58,$56,15
birth announcements,cards,2018-01-20,$247,$226,$20,$49,$19,4
thank you cards,cards,2018-01-20,$196,$156,$40,$37,$25,9
volumes subscription series,books,2018-01-20,$169,$169,$0,$68,$16,3
signature prints,prints,2018-01-20,$145,$129,$16,$55,$13,3
metal tabletop frames,frames,2018-01-20,$107,$90,$17,$38,$15,2
wooden hanger,photo holders,2018-01-20,$98,$89,$9,$66,$20,1
holiday cards,cards,2018-01-20,$87,$68,$18,$12,$13,3
